Index_number,Object_ID,area,convex_area,eccentricity,mean_intensity,max_intensity,intensity_variance,major_axis_length,minor_axis_length,solidity,convection_area,intense_area,Label,Area_stan,convex_area_stan,eccentricity_stan,mean_intensity_stan,max_intensity_stan,intensity_variance_stan,major_axis_length_stan,minor_axis_length_stan,solidity_stan,convection_area_stan,intense_area_stan,Major_Minor_Ratio
0,mrms20200603r30,466,675,0.97888152,32.11051502,50,61.98832291,58.99455538,12.06016233,0.69037037,466,107,Cluster of Cells,-0.345696026,-0.343893085,1.14757674,-0.510903189,-1.471310116,-0.848285221,-0.228801715,-0.595807963,-0.098482665,-0.345696026,-0.42428492,4.891688335
1,mrms20200603r34,405,572,0.961438065,34.64691358,50.5,62.22965097,45.8484869,12.60932144,0.708041958,405,112,Cluster of Cells,-0.354018918,-0.351630683,1.018744257,0.415739924,-1.348620435,-0.837847495,-0.386088135,-0.58244187,0.054465222,-0.354018918,-0.418892242,3.636078841
3,mrms20200603r49,220,267,0.896059998,37.41590909,52,71.00315599,26.01041376,11.5468802,0.823970037,220,95,Supercell,-0.379260478,-0.374542988,0.535880134,1.427359573,-0.98055139,-0.458382936,-0.62344119,-0.608300839,1.057824684,-0.379260478,-0.437227349,2.25259233
5,mrms20200603r75,92,110,0.711248807,32.9076087,55.5,78.88548559,13.2810335,9.335774326,0.836363636,92,22,Isolated Cell,-0.396725145,-0.386337191,-0.829083639,-0.219694475,-0.121723621,-0.117462778,-0.775742135,-0.662117386,1.16509149,-0.396724908,-0.515960458,1.422595816
12,mrms20200603r148,132,203,0.923317562,32.34090909,50,80.51635675,24.52983779,9.42037367,0.650246305,132,36,Isolated Cell,-0.391267509,-0.379350816,0.737196885,-0.42673145,-1.471310116,-0.046925655,-0.641155573,-0.660058306,-0.445757117,-0.391267274,-0.500860958,2.603913459
13,mrms20200603r160,1468,2454,0.846980292,31.59162125,54,83.06875132,71.22360345,37.86419751,0.598207009,1468,361,Cluster of Cells,-0.208982451,-0.210250492,0.173391156,-0.700474869,-0.489792665,0.063468455,-0.082487005,0.032241594,-0.896158096,-0.20898228,-0.150336842,1.881027676
14,mrms20200603r163,353,507,0.702766009,31.00566572,53,65.171356,28.74632186,20.450739,0.696252465,353,61,Isolated Cell,-0.361114067,-0.356513633,-0.891735209,-0.914546769,-0.735172028,-0.710615243,-0.590707358,-0.391588045,-0.047573033,-0.361113843,-0.473897564,1.405637315
15,mrms20200603r164,69,78,0.821951637,38.7826087,51,82.06143667,12.59317131,7.17253252,0.884615385,69,37,Isolated Cell,-0.399863286,-0.388741105,-0.011463494,1.926667055,-1.225930753,0.019900895,-0.783972077,-0.71476896,1.582711177,-0.399863048,-0.499782422,1.755749628
16,mrms20200603r165,460,611,0.959124935,35.57826087,51.5,84.81452741,48.6046831,13.75429743,0.752864157,460,189,Cluster of Cells,-0.34651489,-0.348700913,1.001660124,0.755996604,-1.103241072,0.138975353,-0.353111566,-0.554574071,0.442402103,-0.346514671,-0.33584499,3.533781595
17,mrms20200603r177,525,607,0.809916777,29.31047619,50,56.31693787,34.36681494,20.15767693,0.86490939,525,60,Isolated Cell,-0.337646231,-0.349001402,-0.100349603,-1.533864147,-1.471310116,-1.093579389,-0.523460847,-0.398720941,1.412155468,-0.337646015,-0.4749761,1.70489958
20,mrms20200603r234,757,1230,0.804845587,31.89564069,55,73.35238522,47.94596251,28.45517464,0.615447154,757,164,Cluster of Cells,-0.305991939,-0.302200202,-0.137803994,-0.589404977,-0.244413302,-0.35677597,-0.360992843,-0.196766489,-0.746944349,-0.305991734,-0.362808383,1.684964619
24,mrms20200603r245,443,707,0.619974093,34.15688488,54,72.06060158,32.69142211,25.65041818,0.626591231,443,126,Cluster of Cells,-0.348834385,-0.341489171,-1.503213149,0.236713752,-0.489792665,-0.412647153,-0.543506121,-0.265032016,-0.650492184,-0.348834165,-0.403792741,1.274498602
26,mrms20200603r249,259,359,0.819873906,29.98069498,51.5,55.3799362,28.03605821,16.05188051,0.721448468,259,34,Cluster of Cells,-0.373939513,-0.367631735,-0.026809037,-1.289007666,-1.103241072,-1.134105829,-0.599205323,-0.498652739,0.170498789,-0.373939284,-0.503018029,1.746590264
