Year,Month,Value
1950,1,-2.34E+00
1950,2,-1.04E+00
1950,3,2.40E-01
1950,4,1.00E-02
1950,5,-5.50E-01
1950,6,-1.97E+00
1950,7,-4.30E-01
1950,8,8.20E-01
1950,9,-1.15E+00
1950,10,4.90E-01
1950,11,-1.81E+00
1950,12,2.00E-02
1951,1,-4.10E-01
1951,2,-1.36E+00
1951,3,-8.10E-01
1951,4,7.30E-01
1951,5,1.26E+00
1951,6,-6.10E-01
1951,7,-2.00E-02
1951,8,5.00E-02
1951,9,-5.00E-02
1951,10,2.40E-01
1951,11,2.30E-01
1951,12,-1.29E+00
1952,1,-1.98E+00
1952,2,2.80E-01
1952,3,-4.00E-01
1952,4,1.16E+00
1952,5,-9.90E-01
1952,6,3.90E-01
1952,7,-1.23E+00
1952,8,8.00E-01
1952,9,5.30E-01
1952,10,8.00E-01
1952,11,8.20E-01
1952,12,9.30E-01
1953,1,6.50E-01
1953,2,1.00E+00
1953,3,-1.50E-01
1953,4,1.05E+00
1953,5,1.20E+00
1953,6,-1.60E+00
1953,7,7.40E-01
1953,8,-1.12E+00
1953,9,-1.20E-01
1953,10,1.91E+00
1953,11,1.65E+00
1953,12,1.27E+00
1954,1,-1.14E+00
1954,2,-1.40E-01
1954,3,-1.17E+00
1954,4,-2.70E+00
1954,5,6.40E-01
1954,6,-2.00E-02
1954,7,3.00E-01
1954,8,-8.00E-02
1954,9,0.00E+00
1954,10,7.50E-01
1954,11,1.45E+00
1954,12,-5.20E-01
1955,1,4.00E-01
1955,2,-1.74E+00
1955,3,-2.23E+00
1955,4,0.00E+00
1955,5,-5.70E-01
1955,6,0.00E+00
1955,7,-9.60E-01
1955,8,-5.20E-01
1955,9,-2.10E-01
1955,10,3.10E-01
1955,11,-9.60E-01
1955,12,-2.07E+00
1956,1,-1.32E+00
1956,2,-1.04E+00
1956,3,-6.90E-01
1956,4,7.00E-02
1956,5,-2.90E-01
1956,6,-1.80E-01
1956,7,-9.20E-01
1956,8,-2.00E-01
1956,9,5.50E-01
1956,10,-2.11E+00
1956,11,1.06E+00
1956,12,-3.10E-01
1957,1,-1.19E+00
1957,2,-1.19E+00
1957,3,1.10E+00
1957,4,-1.70E-01
1957,5,1.31E+00
1957,6,1.20E-01
1957,7,3.30E-01
1957,8,-9.60E-01
1957,9,-2.20E-01
1957,10,2.70E-01
1957,11,5.20E-01
1957,12,-4.30E-01
1958,1,9.90E-01
1958,2,4.90E-01
1958,3,4.90E-01
1958,4,5.70E-01
1958,5,6.50E-01
1958,6,1.29E+00
1958,7,1.24E+00
1958,8,2.15E+00
1958,9,-1.00E-02
1958,10,1.60E-01
1958,11,9.00E-02
1958,12,6.50E-01
1959,1,-6.90E-01
1959,2,-7.00E-01
1959,3,5.20E-01
1959,4,-6.80E-01
1959,5,-4.40E-01
1959,6,9.10E-01
1959,7,-3.00E-02
1959,8,1.06E+00
1959,9,1.48E+00
1959,10,6.00E-02
1959,11,2.80E-01
1959,12,6.60E-01
1960,1,3.80E-01
1960,2,6.00E-02
1960,3,-4.00E-01
1960,4,1.80E-01
1960,5,1.03E+00
1960,6,1.02E+00
1960,7,1.64E+00
1960,8,1.88E+00
1960,9,4.00E-02
1960,10,2.90E-01
1960,11,-5.30E-01
1960,12,1.46E+00
1961,1,1.41E+00
1961,2,3.50E-01
1961,3,5.90E-01
1961,4,-9.20E-01
1961,5,-3.80E-01
1961,6,1.62E+00
1961,7,-1.10E-01
1961,8,5.00E-01
1961,9,1.37E+00
1961,10,-1.91E+00
1961,11,-4.10E-01
1961,12,-1.24E+00
1962,1,-7.00E-02
1962,2,-1.80E-01
1962,3,-4.30E-01
1962,4,-1.30E+00
1962,5,-1.36E+00
1962,6,-1.01E+00
1962,7,6.00E-02
1962,8,6.00E-01
1962,9,-9.50E-01
1962,10,1.06E+00
1962,11,5.70E-01
1962,12,-8.00E-02
1963,1,5.80E-01
1963,2,8.10E-01
1963,3,-1.79E+00
1963,4,-5.60E-01
1963,5,-1.17E+00
1963,6,3.70E-01
1963,7,-7.30E-01
1963,8,-9.80E-01
1963,9,1.10E+00
1963,10,6.90E-01
1963,11,-3.10E-01
1963,12,1.77E+00
1964,1,1.60E-01
1964,2,1.24E+00
1964,3,-1.04E+00
1964,4,-1.09E+00
1964,5,-2.68E+00
1964,6,1.50E-01
1964,7,6.60E-01
1964,8,8.60E-01
1964,9,1.15E+00
1964,10,5.80E-01
1964,11,-8.10E-01
1964,12,-1.73E+00
1965,1,-2.10E-01
1965,2,-5.50E-01
1965,3,-5.20E-01
1965,4,-8.50E-01
1965,5,-5.70E-01
1965,6,1.67E+00
1965,7,-9.00E-01
1965,8,3.50E-01
1965,9,4.80E-01
1965,10,1.14E+00
1965,11,-8.40E-01
1965,12,-1.26E+00
1966,1,3.90E-01
1966,2,-1.31E+00
1966,3,7.40E-01
1966,4,-3.10E-01
1966,5,-2.70E-01
1966,6,-1.00E-02
1966,7,-8.10E-01
1966,8,1.29E+00
1966,9,8.10E-01
1966,10,-7.00E-01
1966,11,-2.04E+00
1966,12,9.00E-02
1967,1,-4.00E-01
1967,2,7.00E-02
1967,3,-2.00E+00
1967,4,-1.72E+00
1967,5,-1.01E+00
1967,6,-4.10E-01
1967,7,-8.80E-01
1967,8,-3.20E-01
1967,9,1.80E-01
1967,10,8.50E-01
1967,11,-3.60E-01
1967,12,-8.20E-01
1968,1,-8.80E-01
1968,2,1.05E+00
1968,3,4.40E-01
1968,4,-8.90E-01
1968,5,1.70E-01
1968,6,-1.80E-01
1968,7,4.10E-01
1968,8,1.33E+00
1968,9,-9.90E-01
1968,10,2.60E-01
1968,11,8.80E-01
1968,12,-1.44E+00
1969,1,-1.80E+00
1969,2,-1.25E+00
1969,3,7.80E-01
1969,4,7.40E-01
1969,5,1.06E+00
1969,6,1.88E+00
1969,7,9.90E-01
1969,8,-6.60E-01
1969,9,1.62E+00
1969,10,3.50E-01
1969,11,1.50E-01
1969,12,1.84E+00
1970,1,6.00E-01
1970,2,9.80E-01
1970,3,8.10E-01
1970,4,-4.30E-01
1970,5,-6.60E-01
1970,6,1.10E-01
1970,7,1.24E+00
1970,8,-5.70E-01
1970,9,-4.20E-01
1970,10,-1.01E+00
1970,11,-1.19E+00
1970,12,-7.90E-01
1971,1,-1.39E+00
1971,2,1.00E-01
1971,3,2.00E-02
1971,4,4.80E-01
1971,5,1.14E+00
1971,6,3.80E-01
1971,7,-1.41E+00
1971,8,-7.80E-01
1971,9,2.30E-01
1971,10,-1.37E+00
1971,11,-2.60E-01
1971,12,-1.46E+00
1972,1,-1.41E+00
1972,2,-1.48E+00
1972,3,2.00E-01
1972,4,-1.76E+00
1972,5,1.40E-01
1972,6,-2.40E-01
1972,7,-7.60E-01
1972,8,-1.00E-02
1972,9,2.10E-01
1972,10,-1.50E+00
1972,11,5.60E-01
1972,12,-5.60E-01
1973,1,-1.80E-01
1973,2,1.20E-01
1973,3,8.50E-01
1973,4,3.60E-01
1973,5,6.60E-01
1973,6,8.40E-01
1973,7,1.70E-01
1973,8,-9.20E-01
1973,9,-2.80E-01
1973,10,-8.20E-01
1973,11,-1.73E+00
1973,12,5.30E-01
1974,1,-6.90E-01
1974,2,-9.00E-01
1974,3,-8.20E-01
1974,4,-5.00E-01
1974,5,-5.50E-01
1974,6,-1.38E+00
1974,7,3.50E-01
1974,8,9.30E-01
1974,9,4.70E-01
1974,10,6.90E-01
1974,11,5.70E-01
1974,12,6.80E-01
1975,1,-4.30E-01
1975,2,-1.60E-01
1975,3,-5.30E-01
1975,4,-4.40E-01
1975,5,5.90E-01
1975,6,-3.90E-01
1975,7,-1.19E+00
1975,8,-1.07E+00
1975,9,-2.30E-01
1975,10,-7.40E-01
1975,11,-6.50E-01
1975,12,1.40E-01
1976,1,3.10E-01
1976,2,-1.56E+00
1976,3,-1.52E+00
1976,4,1.19E+00
1976,5,5.60E-01
1976,6,-1.34E+00
1976,7,3.20E-01
1976,8,-5.90E-01
1976,9,0.00E+00
1976,10,6.80E-01
1976,11,1.81E+00
1976,12,5.10E-01
1977,1,1.75E+00
1977,2,2.04E+00
1977,3,-4.00E-01
1977,4,-8.00E-02
1977,5,-7.30E-01
1977,6,4.30E-01
1977,7,-6.70E-01
1977,8,2.22E+00
1977,9,-8.20E-01
1977,10,9.80E-01
1977,11,-2.20E-01
1977,12,-5.00E-01
1978,1,6.10E-01
1978,2,1.27E+00
1978,3,1.20E-01
1978,4,5.00E-02
1978,5,-9.20E-01
1978,6,-9.70E-01
1978,7,-2.15E+00
1978,8,5.00E-02
1978,9,1.71E+00
1978,10,4.80E-01
1978,11,-4.90E-01
1978,12,-7.20E-01
1979,1,-6.90E-01
1979,2,-1.82E+00
1979,3,3.80E-01
1979,4,9.00E-02
1979,5,1.35E+00
1979,6,-1.64E+00
1979,7,9.90E-01
1979,8,7.00E-01
1979,9,1.28E+00
1979,10,1.53E+00
1979,11,5.40E-01
1979,12,-3.80E-01
1980,1,-2.80E-01
1980,2,1.74E+00
1980,3,-3.50E-01
1980,4,1.96E+00
1980,5,-2.80E-01
1980,6,-8.60E-01
1980,7,-4.20E-01
1980,8,-1.99E+00
1980,9,-5.00E-02
1980,10,2.45E+00
1980,11,1.35E+00
1980,12,-2.70E-01
1981,1,2.42E+00
1981,2,3.80E-01
1981,3,1.60E+00
1981,4,-1.02E+00
1981,5,1.98E+00
1981,6,-2.00E-01
1981,7,-6.40E-01
1981,8,-1.50E+00
1981,9,1.50E-01
1981,10,-1.45E+00
1981,11,1.26E+00
1981,12,-1.20E-01
1982,1,-8.60E-01
1982,2,-6.80E-01
1982,3,-1.40E+00
1982,4,-1.89E+00
1982,5,-7.00E-01
1982,6,1.93E+00
1982,7,9.70E-01
1982,8,3.40E-01
1982,9,1.05E+00
1982,10,-9.30E-01
1982,11,-4.80E-01
1982,12,7.50E-01
1983,1,1.18E+00
1983,2,1.30E+00
1983,3,2.38E+00
1983,4,1.26E+00
1983,5,-1.90E-01
1983,6,1.87E+00
1983,7,1.33E+00
1983,8,5.30E-01
1983,9,-1.59E+00
1983,10,9.00E-02
1983,11,1.84E+00
1983,12,-3.10E-01
1984,1,9.70E-01
1984,2,7.70E-01
1984,3,1.41E+00
1984,4,1.70E+00
1984,5,3.20E-01
1984,6,-4.40E-01
1984,7,-2.34E+00
1984,8,-1.11E+00
1984,9,3.00E-02
1984,10,-6.30E-01
1984,11,4.20E-01
1984,12,-1.60E+00
1985,1,1.63E+00
1985,2,-5.20E-01
1985,3,-9.20E-01
1985,4,-1.06E+00
1985,5,-1.03E+00
1985,6,1.10E+00
1985,7,2.50E-01
1985,8,-5.00E-01
1985,9,-7.10E-01
1985,10,-1.51E+00
1985,11,-1.90E+00
1985,12,1.39E+00
1986,1,9.70E-01
1986,2,5.30E-01
1986,3,8.30E-01
1986,4,9.00E-02
1986,5,-1.30E-01
1986,6,2.60E-01
1986,7,7.00E-02
1986,8,-1.45E+00
1986,9,-2.90E-01
1986,10,9.20E-01
1986,11,-7.30E-01
1986,12,1.37E+00
1987,1,1.00E+00
1987,2,6.50E-01
1987,3,1.17E+00
1987,4,1.83E+00
1987,5,-1.26E+00
1987,6,4.20E-01
1987,7,-1.00E-02
1987,8,7.70E-01
1987,9,-3.07E+00
1987,10,5.30E-01
1987,11,1.26E+00
1987,12,8.00E-01
1988,1,5.30E-01
1988,2,1.25E+00
1988,3,6.90E-01
1988,4,1.40E+00
1988,5,6.00E-01
1988,6,1.13E+00
1988,7,2.16E+00
1988,8,-5.90E-01
1988,9,-1.11E+00
1988,10,6.60E-01
1988,11,1.30E-01
1988,12,6.30E-01
1989,1,-7.20E-01
1989,2,-1.06E+00
1989,3,-1.30E+00
1989,4,-5.40E-01
1989,5,-1.40E-01
1989,6,-6.30E-01
1989,7,-1.80E-01
1989,8,-2.40E-01
1989,9,5.40E-01
1989,10,-1.13E+00
1989,11,-7.20E-01
1989,12,8.70E-01
1990,1,-3.40E-01
1990,2,-1.86E+00
1990,3,3.40E-01
1990,4,-3.90E-01
1990,5,2.10E-01
1990,6,-1.41E+00
1990,7,1.70E-01
1990,8,1.79E+00
1990,9,-5.00E-01
1990,10,-9.70E-01
1990,11,-1.73E+00
1990,12,-1.32E+00
1991,1,6.60E-01
1991,2,1.07E+00
1991,3,-9.40E-01
1991,4,6.40E-01
1991,5,-8.10E-01
1991,6,-9.70E-01
1991,7,7.50E-01
1991,8,-2.50E-01
1991,9,1.43E+00
1991,10,-2.28E+00
1991,11,2.40E-01
1991,12,4.70E-01
1992,1,1.28E+00
1992,2,2.90E-01
1992,3,7.70E-01
1992,4,-5.00E-02
1992,5,1.27E+00
1992,6,1.17E+00
1992,7,8.50E-01
1992,8,-3.40E-01
1992,9,-1.31E+00
1992,10,2.10E-01
1992,11,8.50E-01
1992,12,-1.23E+00
1993,1,-6.50E-01
1993,2,5.50E-01
1993,3,1.27E+00
1993,4,1.54E+00
1993,5,2.66E+00
1993,6,5.20E-01
1993,7,1.50E-01
1993,8,-1.40E-01
1993,9,-1.12E+00
1993,10,-3.00E-01
1993,11,-3.60E-01
1993,12,7.20E-01
1994,1,-1.20E-01
1994,2,-7.30E-01
1994,3,5.40E-01
1994,4,-4.70E-01
1994,5,4.50E-01
1994,6,-1.38E+00
1994,7,3.80E-01
1994,8,-1.34E+00
1994,9,-2.38E+00
1994,10,-2.30E-01
1994,11,-1.67E+00
1994,12,6.90E-01
1995,1,6.60E-01
1995,2,7.30E-01
1995,3,3.30E-01
1995,4,2.90E-01
1995,5,1.00E-02
1995,6,7.40E-01
1995,7,-3.40E-01
1995,8,-3.00E-01
1995,9,1.52E+00
1995,10,-5.00E-02
1995,11,-7.50E-01
1995,12,9.20E-01
1996,1,-2.00E-02
1996,2,-3.00E-01
1996,3,-4.70E-01
1996,4,7.70E-01
1996,5,3.20E-01
1996,6,-1.21E+00
1996,7,6.40E-01
1996,8,-9.00E-01
1996,9,-2.80E-01
1996,10,-7.60E-01
1996,11,-4.50E-01
1996,12,-1.23E+00
1997,1,6.30E-01
1997,2,5.60E-01
1997,3,-1.30E+00
1997,4,5.50E-01
1997,5,7.80E-01
1997,6,-3.40E-01
1997,7,5.60E-01
1997,8,-5.20E-01
1997,9,3.10E-01
1997,10,-2.60E-01
1997,11,9.10E-01
1997,12,1.16E+00
1998,1,7.40E-01
1998,2,8.90E-01
1998,3,1.01E+00
1998,4,1.12E+00
1998,5,-2.22E+00
1998,6,-2.00E-02
1998,7,2.24E+00
1998,8,-5.70E-01
1998,9,5.50E-01
1998,10,5.50E-01
1998,11,7.40E-01
1998,12,-9.00E-02
1999,1,1.60E-01
1999,2,-1.20E-01
1999,3,6.90E-01
1999,4,3.00E-01
1999,5,-1.50E-01
1999,6,3.00E-01
1999,7,-5.40E-01
1999,8,1.97E+00
1999,9,4.40E-01
1999,10,4.10E-01
1999,11,4.80E-01
1999,12,2.10E-01
2000,1,-8.20E-01
2000,2,1.12E+00
2000,3,1.28E+00
2000,4,-3.50E-01
2000,5,-2.80E-01
2000,6,-1.22E+00
2000,7,-2.28E+00
2000,8,-4.80E-01
2000,9,-1.40E+00
2000,10,2.50E-01
2000,11,7.40E-01
2000,12,1.23E+00
2001,1,1.51E+00
2001,2,-1.60E-01
2001,3,7.00E-01
2001,4,-4.70E-01
2001,5,-1.10E-01
2001,6,-9.40E-01
2001,7,6.00E-02
2001,8,-1.10E-01
2001,9,1.00E-01
2001,10,-2.20E-01
2001,11,1.09E+00
2001,12,5.60E-01
2002,1,-4.00E-02
2002,2,1.40E-01
2002,3,-1.30E+00
2002,4,-2.22E+00
2002,5,-7.30E-01
2002,6,-5.00E-02
2002,7,8.80E-01
2002,8,6.40E-01
2002,9,7.70E-01
2002,10,-6.50E-01
2002,11,1.54E+00
2002,12,1.59E+00
2003,1,1.29E+00
2003,2,7.30E-01
2003,3,-7.00E-02
2003,4,1.40E-01
2003,5,-2.20E+00
2003,6,-6.00E-01
